zip,donations,total,population,rate_per_1000,rate_label,total_formatted
21676,21,710.0500000000001,367,57.22,"57.22 per 1,000 people",$710.05
21677,128,1134.9900000000007,579,221.07,"221.07 per 1,000 people","$1,134.99"
21678,43,1922.5899999999997,1549,27.76,"27.76 per 1,000 people","$1,922.59"
21679,81,2694.7099999999996,272,297.79,"297.79 per 1,000 people","$2,694.71"
21701,6057,114826.3500000018,38390,157.78,"157.78 per 1,000 people","$114,826.35"
21702,5174,126991.27000000182,41729,123.99,"123.99 per 1,000 people","$126,991.27"
21703,2098,67041.95000000004,37048,56.63,"56.63 per 1,000 people","$67,041.95"
21704,1240,58343.60999999997,16478,75.25,"75.25 per 1,000 people","$58,343.61"
21705,33,1493.22,4,8250,"8250 per 1,000 people","$1,493.22"
21710,301,13761.380000000008,4847,62.1,"62.1 per 1,000 people","$13,761.38"
21711,27,898.0700000000002,1139,23.71,"23.71 per 1,000 people",$898.07
21713,1288,40229.73999999996,9979,129.07,"129.07 per 1,000 people","$40,229.74"
21714,12,290.82000000000005,179,67.04,"67.04 per 1,000 people",$290.82
21716,540,16379.819999999992,5453,99.03,"99.03 per 1,000 people","$16,379.82"
21717,54,1939.79,126,428.57,"428.57 per 1,000 people","$1,939.79"
21718,6,494.52,167,35.93,"35.93 per 1,000 people",$494.52
21719,58,2473.4699999999993,1074,54,"54 per 1,000 people","$2,473.47"
21722,317,9866.599999999997,6389,49.62,"49.62 per 1,000 people","$9,866.60"
21723,215,3686.479999999998,648,331.79,"331.79 per 1,000 people","$3,686.48"
21727,756,28446.509999999995,6965,108.54,"108.54 per 1,000 people","$28,446.51"
21733,22,980.28,988,22.27,"22.27 per 1,000 people",$980.28
21734,64,1267.72,840,76.19,"76.19 per 1,000 people","$1,267.72"
21737,149,9376.609999999995,2476,60.18,"60.18 per 1,000 people","$9,376.61"
21738,1641,31309.770000000022,3861,425.02,"425.02 per 1,000 people","$31,309.77"
21740,41865,136944.65000000247,60922,687.19,"687.19 per 1,000 people","$136,944.65"
21742,5487,163741.37000000075,33425,164.16,"164.16 per 1,000 people","$163,741.37"
21746,9,552.02,3036,2.96,"2.96 per 1,000 people",$552.02
21750,165,5061.7199999999975,3787,43.57,"43.57 per 1,000 people","$5,061.72"
21754,1220,39970.79999999996,7117,171.42,"171.42 per 1,000 people","$39,970.80"
21755,504,21364.609999999982,5745,87.73,"87.73 per 1,000 people","$21,364.61"
21756,336,22238.630000000005,2912,115.38,"115.38 per 1,000 people","$22,238.63"
21757,196,10792.840000000004,2753,71.2,"71.2 per 1,000 people","$10,792.84"
21758,1294,30557.549999999916,4616,280.33,"280.33 per 1,000 people","$30,557.55"
21762,53,2202.48,131,404.58,"404.58 per 1,000 people","$2,202.48"
21766,177,1711.669999999999,660,268.18,"268.18 per 1,000 people","$1,711.67"
21767,271,2927.9700000000003,694,390.49,"390.49 per 1,000 people","$2,927.97"
21769,1570,39481.69999999997,11868,132.29,"132.29 per 1,000 people","$39,481.70"
21770,723,20556.359999999997,6145,117.66,"117.66 per 1,000 people","$20,556.36"
21771,6746,150894.49000000267,31366,215.07,"215.07 per 1,000 people","$150,894.49"
21773,402,13039.27,5404,74.39,"74.39 per 1,000 people","$13,039.27"
21774,2844,60800.73000000003,13618,208.84,"208.84 per 1,000 people","$60,800.73"
21776,1147,15895.469999999972,6137,186.9,"186.9 per 1,000 people","$15,895.47"
21777,105,5306.590000000001,2067,50.8,"50.8 per 1,000 people","$5,306.59"
21778,138,3602.839999999998,930,148.39,"148.39 per 1,000 people","$3,602.84"
21779,121,6273.829999999999,1712,70.68,"70.68 per 1,000 people","$6,273.83"
21780,106,3914.229999999999,1864,56.87,"56.87 per 1,000 people","$3,914.23"
21782,271,8791.65,4348,62.33,"62.33 per 1,000 people","$8,791.65"
21783,718,14984.93999999998,9637,74.5,"74.5 per 1,000 people","$14,984.94"
21784,6982,355008.319999996,36484,191.37,"191.37 per 1,000 people","$355,008.32"
21787,1154,26892.229999999985,10194,113.2,"113.2 per 1,000 people","$26,892.23"
21788,986,20376.15,12241,80.55,"80.55 per 1,000 people","$20,376.15"
21791,1011,16003.319999999983,5080,199.02,"199.02 per 1,000 people","$16,003.32"
21793,1537,46443.080000000016,10477,146.7,"146.7 per 1,000 people","$46,443.08"
21794,384,21564.38999999999,2191,175.26,"175.26 per 1,000 people","$21,564.39"
21795,917,23988.369999999977,9150,100.22,"100.22 per 1,000 people","$23,988.37"
21797,2300,90915.01000000056,8558,268.75,"268.75 per 1,000 people","$90,915.01"
21798,453,9415.339999999993,2412,187.81,"187.81 per 1,000 people","$9,415.34"
21801,2279,50766.34,30122,75.66,"75.66 per 1,000 people","$50,766.34"
21802,43,2320.959999999999,98,438.78,"438.78 per 1,000 people","$2,320.96"
21804,4477,63720.600000000406,39842,112.37,"112.37 per 1,000 people","$63,720.60"
21810,75,2913.13,656,114.33,"114.33 per 1,000 people","$2,913.13"
21811,3477,115303.71000000108,24356,142.76,"142.76 per 1,000 people","$115,303.71"
21813,503,11720.36,2636,190.82,"190.82 per 1,000 people","$11,720.36"
21814,5,267.12,274,18.25,"18.25 per 1,000 people",$267.12
21817,551,19574.94999999999,4247,129.74,"129.74 per 1,000 people","$19,574.95"
21821,73,5392.68,834,87.53,"87.53 per 1,000 people","$5,392.68"
21822,182,10207.600000000002,1527,119.19,"119.19 per 1,000 people","$10,207.60"
21824,8,294.93,181,44.2,"44.2 per 1,000 people",$294.93
21826,1033,11213.05,5317,194.28,"194.28 per 1,000 people","$11,213.05"
21829,6,113.99,397,15.11,"15.11 per 1,000 people",$113.99
21830,231,9891.73,4790,48.23,"48.23 per 1,000 people","$9,891.73"
21835,19,622.25,207,91.79,"91.79 per 1,000 people",$622.25
21837,85,2525.719999999999,3322,25.59,"25.59 per 1,000 people","$2,525.72"
21838,168,2872.4799999999996,1805,93.07,"93.07 per 1,000 people","$2,872.48"
21840,8,342.2,353,22.66,"22.66 per 1,000 people",$342.20
21841,80,2151.8799999999997,1455,54.98,"54.98 per 1,000 people","$2,151.88"
21842,6872,94323.41000000104,10525,652.92,"652.92 per 1,000 people","$94,323.41"
21849,320,9043.979999999998,3659,87.46,"87.46 per 1,000 people","$9,043.98"
21850,98,1950.46,3442,28.47,"28.47 per 1,000 people","$1,950.46"
21851,1760,13319.82000000002,7237,243.19,"243.19 per 1,000 people","$13,319.82"
21853,189,7985.15,11437,16.53,"16.53 per 1,000 people","$7,985.15"
21856,116,1575.8899999999996,957,121.21,"121.21 per 1,000 people","$1,575.89"
21861,30,750.4300000000003,687,43.67,"43.67 per 1,000 people",$750.43
21862,7,266.86,86,81.4,"81.4 per 1,000 people",$266.86
21863,502,14885.14,4578,109.65,"109.65 per 1,000 people","$14,885.14"
21864,62,422.49,643,96.42,"96.42 per 1,000 people",$422.49
21865,553,5861.259999999992,433,1277.14,"1277.14 per 1,000 people","$5,861.26"
21869,162,3811.920000000001,1155,140.26,"140.26 per 1,000 people","$3,811.92"
21871,6748,28618.619999999828,2031,3322.5,"3322.5 per 1,000 people","$28,618.62"
21872,67,1340.1700000000003,585,114.53,"114.53 per 1,000 people","$1,340.17"
21874,289,5033.470000000003,1917,150.76,"150.76 per 1,000 people","$5,033.47"
21875,571,7865.319999999991,7084,80.6,"80.6 per 1,000 people","$7,865.32"
21901,1807,37834.40000000001,17694,102.13,"102.13 per 1,000 people","$37,834.40"
21903,722,9080.169999999973,5794,124.61,"124.61 per 1,000 people","$9,080.17"
21904,429,10706.209999999994,6484,66.16,"66.16 per 1,000 people","$10,706.21"
21911,2860,39679.05000000002,11103,257.59,"257.59 per 1,000 people","$39,679.05"
21912,116,4251.120000000001,1520,76.32,"76.32 per 1,000 people","$4,251.12"
21913,40,1308.4999999999995,901,44.4,"44.4 per 1,000 people","$1,308.50"
21914,28,1399.7300000000002,804,34.83,"34.83 per 1,000 people","$1,399.73"
21915,262,10522.589999999998,2739,95.66,"95.66 per 1,000 people","$10,522.59"
21917,138,3712.3899999999994,2017,68.42,"68.42 per 1,000 people","$3,712.39"
21918,682,13136.439999999982,4321,157.83,"157.83 per 1,000 people","$13,136.44"
21919,193,7736.6,2905,66.44,"66.44 per 1,000 people","$7,736.60"
21920,8,227.88,953,8.39,"8.39 per 1,000 people",$227.88
21921,6986,117748.40000000056,45225,154.47,"154.47 per 1,000 people","$117,748.40"
21930,1,312.3,120,8.33,"8.33 per 1,000 people",$312.30
22312,25,2183.76,30327,0.82,"0.82 per 1,000 people","$2,183.76"
27549,1,30,25485,0.04,"0.04 per 1,000 people",$30.00
30328,10,88.02,38685,0.26,"0.26 per 1,000 people",$88.02
36362,6,120,5715,1.05,"1.05 per 1,000 people",$120.00
